PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,Activity Summary,Ratio Activity,Ratio Potency (uM),Ratio Efficacy (%),530 nm Activity,530 nm Potency (uM),530 nm Efficacy (%),460 nm Activity,460 nm Potency (uM),460 nm Efficacy (%),Blue (460 nm) auto fluorescence outcome,Sample Source
8640,144212193,23654,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,LightBiologicals
8641,144212194,61234,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,LightBiologicals
8642,144212195,12810,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,LightBiologicals
8643,144212196,41690,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,LightBiologicals
8644,144212197,16463,Inactive,0,,,inactive,inactive,,0,inconclusive agonist,29.1673,25.924,inactive,,0,inactive,LightBiologicals
8645,144212198,42745,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,LightBiologicals
8646,144212199,97971,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,LightBiologicals
8647,144212200,21322,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,LightBiologicals
8648,144212201,97354,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,LightBiologicals
8649,144212202,23703979,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,LightBiologicals
8650,144212203,5284435,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,LightBiologicals
8651,144212204,5360487,Inconclusive,5,,,inconclusive,inconclusive antagonist,38.8952,-29.6902,inactive,,0,inactive,,0,inactive,LightBiologicals
8652,144212205,62240,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,LightBiologicals
8653,144212206,23665583,Active,47,,,active agonist,active agonist,9.77004,36.5157,inconclusive agonist,48.9662,35.0025,active agonist,16.7198,58.2164,inactive,LightBiologicals
8654,144212207,3034319,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,LightBiologicals
8655,144212208,9690,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,LightBiologicals
8656,144212209,19113,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,LightBiologicals
8657,144212210,77288,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,LightBiologicals
8658,144212211,17722,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,LightBiologicals
8659,144212212,20936,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,LightBiologicals
8660,144212213,67123,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,LightBiologicals
8661,144212214,23681382,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,LightBiologicals
8662,144212215,114644,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,LightBiologicals
8663,144212216,135565106,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,LightBiologicals
8664,144212217,23674215,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,LightBiologicals
8665,144212218,20848,Inactive,0,,,inactive,inactive,,0,inactive,,0,inconclusive antagonist,36.7195,-28.8052,inactive,LightBiologicals
8666,144212219,16115,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,LightBiologicals
8667,144212220,30709,Inactive,0,,,inactive,inactive,,0,inconclusive agonist,19.4938,30.3947,inactive,,0,inactive,LightBiologicals
8668,144212221,36274,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,LightBiologicals
8669,144212222,13689,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,LightBiologicals
8670,144212223,92421,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,LightBiologicals
8671,144212224,5859,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,LightBiologicals
8672,144212225,17168,Inconclusive,5,,,inconclusive,inconclusive antagonist,38.8952,-34.292,active agonist,54.941,55.3055,inactive,,0,inactive,LightBiologicals
8673,144212226,3032792,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,LightBiologicals
8674,144212227,6805,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,LightBiologicals
8675,144212228,6442,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,LightBiologicals
8676,144212229,15998,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,LightBiologicals
8677,144212230,47455,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,LightBiologicals
8678,144212231,22094,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,LightBiologicals
8679,144212232,91742,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,LightBiologicals
8680,144212233,17349,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,LightBiologicals
8681,144212234,33256,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,LightBiologicals
8682,144212235,16422,Inconclusive,5,,,inconclusive,inconclusive antagonist,30.8956,-32.3637,inconclusive agonist,24.5412,44.4682,inactive,,0,inactive,LightBiologicals
8683,144212236,38283,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,LightBiologicals
8684,144212237,54680085,Inconclusive,5,,,inconclusive,inconclusive antagonist,13.8331,-33.0893,active agonist,7.92965,30.4184,inactive,,0,inactive,LightBiologicals
8685,144212238,92873,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,LightBiologicals
8686,144212239,16183,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,LightBiologicals
8687,144212240,8710,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,LightBiologicals
8688,144212241,69827,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,LightBiologicals
8689,144212242,70754,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,LightBiologicals
8690,144212243,54680660,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,LightBiologicals
8691,144212244,9568,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,LightBiologicals
8692,144212245,81882,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,LightBiologicals
8693,144212246,2140,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,LightBiologicals
8694,144212247,14240,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,LightBiologicals
8695,144212248,31315,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,LightBiologicals
8696,144212249,88209,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,LightBiologicals
8697,144212250,89385,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,LightBiologicals
8698,144212251,23675737,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,LightBiologicals
8699,144212252,117746,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,LightBiologicals
8700,144212253,6850780,Inconclusive,30,,,inconclusive agonist (fluorescent),active agonist,33.071,96.8597,inactive,,0,active agonist,33.071,141.165,fluorescent,LightBiologicals
8701,144212254,62142,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,LightBiologicals
8702,144212255,67350,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,LightBiologicals
8703,144212256,99016,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,LightBiologicals
8704,144212257,28417,Active,57,,,active agonist,active agonist,0.0160903,67.3858,inactive,,0,active agonist,0.026499,86.493,inactive,LightBiologicals
8705,144212258,4964,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,LightBiologicals
8706,144212259,15046,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,LightBiologicals
8707,144212260,5920,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,LightBiologicals
8708,144212261,439260,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,LightBiologicals
8709,144212262,70801,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,LightBiologicals
8710,144212263,6435993,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,LightBiologicals
8711,144212264,94314,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,LightBiologicals
8712,144212265,83268,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,LightBiologicals
8713,144212266,2758725,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,LightBiologicals
8714,144212267,7210,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,LightBiologicals
8715,144212268,61948,Inconclusive,5,,,inconclusive,inconclusive agonist,,,inconclusive agonist,61.6448,35.1756,inactive,,0,inactive,LightBiologicals
8716,144212269,205586,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,LightBiologicals
8717,144212270,156391,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,LightBiologicals
8718,144212271,13382,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,LightBiologicals
8719,144212272,19223,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,LightBiologicals
8720,144212273,76857,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,LightBiologicals
8721,144212274,91697,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,LightBiologicals
8722,144212275,80480,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,LightBiologicals
8723,144212276,170530,Inactive,0,,,inactive,inactive,,0,inconclusive agonist,54.941,35.3901,inactive,,0,inactive,LightBiologicals
8724,144212277,60988,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,LightBiologicals
8725,144212278,73812,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,LightBiologicals
8726,144212279,6433266,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,LightBiologicals
8727,144212280,3034351,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,LightBiologicals
8728,144212281,18290,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,LightBiologicals
8729,144212282,19079,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,LightBiologicals
8730,144212283,82161,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,LightBiologicals
8731,144212284,15666,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,LightBiologicals
8732,144212285,15376,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,SIGMA
8733,144212286,5284486,Active,53,,,active agonist,active agonist,0.0870756,57.1597,inactive,,0,active agonist,0.118367,71.0477,inactive,Sequoia
8734,144212287,64819,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,SIGMA
8735,144212288,6253,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,SIGMA
8736,144212289,5284503,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,SIGMA
8737,144212290,11843,Inactive,0,,,inactive,inactive,,0,inconclusive agonist,11.885,25.6242,inactive,,0,inactive,SIGMA
8738,144212291,1549025,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,SIGMA
8739,144212292,20084,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,Enamine
8740,144212293,6649,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,Enamine
8741,144212294,95428,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,Enamine
8742,144212295,41331,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,Enamine
8743,144212296,94411,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,Enamine
8744,144212297,101012,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,Enamine
8745,144212298,2097895,Inconclusive,5,,,inconclusive,active antagonist,38.8952,-57.3095,inconclusive agonist,54.941,40.9439,inactive,,0,inactive,Enamine
8746,144212299,119716,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,Enamine
8747,144212300,4044,Inconclusive,5,,,inconclusive,active antagonist,0.194938,-21.6505,active agonist,6.65625,57.4388,inactive,,0,inactive,Enamine
8748,144212301,93011,Inactive,0,,,inactive,inactive,,0,inactive,,0,inconclusive agonist,51.8676,30.8046,inactive,Enamine
8749,144212302,107202,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,Enamine
8750,144212303,31208,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,Enamine
8751,144212304,82162,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,Enamine
8752,144212305,94617,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,Enamine
8753,144212306,90282,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,Enamine
8754,144212307,4843,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,Enamine
8755,144212308,70962,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,Enamine
8756,144212309,67274,Inactive,0,,,inactive,inactive,,0,inconclusive agonist,1.0349,31.8541,inactive,,0,fluorescent,Enamine
8757,144212310,644213,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,Enamine
8758,144212311,70381,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,Enamine
8759,144212312,676486,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,Enamine
8760,144212313,113033,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,Enamine
8761,144212314,32731,Inactive,0,,,inactive,inactive,,0,active agonist,4.62271,48.1834,inactive,,0,inactive,LightBiologicals
8762,144212315,15109,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,LightBiologicals
8763,144212316,66636,Inconclusive,5,,,inconclusive,inconclusive antagonist,30.8956,-32.6838,inconclusive agonist,36.7195,32.527,inactive,,0,inactive,LightBiologicals
8764,144212317,15337,Inconclusive,5,,,inconclusive,active agonist,15.4845,119.796,inconclusive antagonist,,1.91398,inconclusive,,,inactive,LightBiologicals
8765,144212318,69297,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,LightBiologicals
8766,144212319,2723866,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,LightBiologicals
8767,144212320,27503,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,LightBiologicals
8768,144212321,16683023,Active,49,,,active agonist,active agonist,15.4845,116.494,inconclusive antagonist,,-5.77574,active agonist,4.36412,41.0952,inactive,LightBiologicals
8769,144212322,17434,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,LightBiologicals
8770,144212323,6143,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,LightBiologicals
8771,144212324,3086172,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,LightBiologicals
8772,144212325,6434236,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,LightBiologicals
8773,144212326,13708,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,LightBiologicals
8774,144212327,5365642,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,LightBiologicals
8775,144212328,8171,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,LightBiologicals
8776,144212329,36382,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,LightBiologicals
8777,144212330,10890,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,LightBiologicals
8778,144212331,11895,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,LightBiologicals
8779,144212332,93502,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,LightBiologicals
8780,144212333,11192,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,LightBiologicals
8781,144212334,22833295,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,LightBiologicals
8782,144212335,6741,Active,62,,,active agonist,active agonist,0.0194938,96.7905,inactive,,0,active agonist,0.0275357,107.763,inactive,LightBiologicals
8783,144212336,6603108,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,LightBiologicals
8784,144212337,12328,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,Acros
8785,144212338,7165,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,Acros
8786,144212339,61163,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,Acros
8787,144212340,8500,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,Acros
8788,144212341,2361,Inactive,0,,,inactive,inactive,,0,inactive,,0,active agonist,20.2564,26.9346,inactive,Acros
8789,144212342,7148,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,Acros
8790,144212343,7060,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,Acros
8791,144212344,20417,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,Acros
8792,144212345,6480,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,Acros
8793,144212346,10601,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,Acros
8794,144212347,6961,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,Acros
8795,144212348,8651,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,Acros
8796,144212349,7392,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,Acros
8797,144212350,12977,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,Acros
8798,144212351,445070,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,Acros
8799,144212352,892,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,Acros
8800,144212353,14511,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,Acros
8801,144212354,8567,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,Acros
8802,144212355,7151,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,Acros
8803,144212356,18827,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,Acros
8804,144212357,7149,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,Acros
8805,144212358,6688,Inactive,0,,,inactive,inactive,,0,inconclusive agonist,30.8956,50.5849,inactive,,0,inactive,Acros
8806,144212359,98282,Inactive,0,,,inactive,inactive,,0,inconclusive agonist,,,inactive,,0,inactive,Acros
8807,144212360,92888,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,Acros
8808,144212361,6773,Inactive,0,,,inactive,inactive,,0,inconclusive agonist,,,inconclusive agonist,,,inactive,Acros
8809,144212362,70223,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,Acros
8810,144212363,8919,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,Acros
8811,144212364,2723,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,Acros
8812,144212365,12062,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,Acros
8813,144212366,8368,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,Acros
8814,144212367,8179,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,Acros
8815,144212368,1066,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,Acros
8816,144212369,875,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,Acros
8817,144212370,13345,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,Acros
8818,144212371,13097,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,Acros
8819,144212372,135191,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,Acros
8820,144212373,15624,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,Acros
8821,144212374,15538,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,Acros
8822,144212375,78361,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,Acros
8823,144212376,12368,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,Acros
8824,144212377,15295,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,Acros
8825,144212378,68527,Inconclusive,5,,,inconclusive,inconclusive agonist,,,inactive,,0,inactive,,0,inactive,Acros
8826,144212379,6943,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,Acros
8827,144212380,69484,Active,45,,,active agonist,active agonist,43.6412,38.2516,inactive,,0,active agonist,52.8725,30.1902,inactive,Acros
8828,144212381,83648,Inconclusive,30,,,inconclusive agonist,inconclusive agonist,54.941,61.1123,inconclusive agonist,5.4941,70.8226,active agonist,41.9981,116.979,inactive,Acros
8829,144212382,8753,Inconclusive,5,,,inconclusive,active agonist,66.9885,185.638,active antagonist,66.9885,-84.5637,active antagonist,47.4242,-57.7448,inactive,Acros
8830,144212383,2603,Inconclusive,5,,,inconclusive,active antagonist,0.388952,-35.4614,active agonist,0.489662,38.4709,inactive,,0,inactive,Acros
8831,144212384,14250,Inconclusive,5,,,inconclusive,inconclusive agonist,61.5769,136.601,inconclusive antagonist,58.1324,-66.7276,inconclusive antagonist,38.8524,-42.5757,inactive,Acros
8832,144212385,14310,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,Acros
8833,144212386,61138,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,Acros
8834,144212387,31298,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,Acros
8835,144212388,408285,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,Acros
8836,144212389,7400,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,Acros
8837,144212390,14385,Inconclusive,5,,,inconclusive,inconclusive antagonist,0.411999,-23.1024,inconclusive agonist,1.6402,39.3141,inconclusive agonist,43.6412,38.0767,inconclusive,Acros
8838,144212391,31018,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,Acros
8839,144212392,21685,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,Acros
8840,144212393,61055,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,Acros
8841,144212394,75472,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,Acros
8842,144212395,66623,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,Acros
8843,144212396,31202,Inconclusive,5,,,inconclusive,active agonist,53.8156,225.929,active antagonist,44.4196,-75.7907,active antagonist,35.2838,-55.5087,inactive,Acros
8844,144212397,8272,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,Acros
8845,144212398,14233,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,Acros
8846,144212399,23665771,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,Acros
8847,144212400,222464,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,Acros
8848,144212401,14249,Inconclusive,10,,,inconclusive antagonist,inconclusive antagonist,6.16448,-33.7599,inconclusive,,,inconclusive antagonist,43.6412,-56.0668,inactive,Acros
8849,144212402,27872,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,Acros
8850,144212403,16887,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,Acros
8851,144212404,6099,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,Acros
8852,144212405,135442941,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,Acros
8853,144212406,67322,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,Acros
8854,144212407,246724,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,Acros
8855,144212408,24671,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,Acros
8856,144212409,62576,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,Acros
8857,144212410,81080,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,Acros
8858,144212411,3516,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,Acros
8859,144212412,74904,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,Acros
8860,144212413,23672329,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inconclusive,Acros
8861,144212414,15466,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,Acros
8862,144212415,2734687,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,Acros
8863,144212416,69311,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,Acros
8864,144212417,91822,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,Acros
8865,144212418,23668353,Inconclusive,5,,,inconclusive,inconclusive agonist,46.2271,44.0629,inactive,,0,inactive,,0,inactive,Acros
8866,144212419,5702667,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,Acros
8867,144212420,67215,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,Acros
8868,144212421,7094,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,Acros
8869,144212422,6451,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,Acros
8870,144212423,6525,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,Acros
8871,144212424,17429,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,Acros
8872,144212425,190,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,Acros
8873,144212426,7268,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,Acros
8874,144212427,11907,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,Acros
8875,144212428,3371,Inconclusive,5,,,inconclusive,active antagonist,17.3739,-34.5814,active agonist,19.4938,51.4393,inactive,,0,inactive,Acros
8876,144212429,8140,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,Acros
8877,144212430,21768,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,Acros
8878,144212431,5795,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,Acros
